Date,PC1,PC2,PC3
2018-01-31,-0.4561176874464039,2.7367613343298163,-0.4997724544257228
2018-02-01,-3.5277542994799282,2.3496461360754872,1.3106502907203692
2018-02-02,-2.326402349935946,2.560082203496968,-0.30371602111254314
2018-02-03,-0.9662953945482687,2.840504504573963,-2.194990531365205
2018-02-04,-3.879391596076999,2.1449034051138383,0.7140246035795079
2018-02-05,-5.6440767668173315,2.338105050023589,1.6523286497059049
2018-02-06,0.6538716659121163,3.538212871527617,-3.7568659843808194
2018-02-07,-2.407675509445712,3.073697862796704,-1.1749969987474076
2018-02-08,0.11085599408106112,3.565149047053245,-2.983678294436749
2018-02-09,-0.22026458144954078,3.529197361749812,-2.1280616697187176
2018-02-10,-1.8758052033131982,3.163245151828525,-0.7987067172001834
2018-02-11,-3.1653289989038664,3.0209907540373093,-0.21073683478731697
2018-02-12,0.7020989021762571,3.6781370715998256,-2.9566123414666112
2018-02-13,-1.859033309182118,3.231664576805263,0.25217977698708494
2018-02-14,1.5842293512097,3.8847887592970283,-2.3119383003603775
2018-02-15,1.8633575506943023,3.343600405899983,-0.6579970927000545
2018-02-16,0.7625948605454086,3.1151955962754037,0.984561950817121
2018-02-17,2.7435320698091687,3.4710372299709045,-0.4112391347940417
2018-02-18,0.16284337187474843,3.0680485639223747,2.8532219731703794
2018-02-19,4.475416465927142,3.1596236476930986,2.2388292228915785
2018-02-20,2.6722032530770647,2.8672048464909383,2.4645905711015827
2018-02-21,0.6166828946980473,2.655016263852975,3.772327501386976
2018-02-22,-0.4707207273452708,2.7927827336255926,2.768275463026416
2018-02-23,1.3698633736326584,3.0742590430971166,0.5924959639726102
2018-02-24,-0.5071182969524689,2.885375277567783,2.0191481785868057
2018-02-25,0.46171345761206095,2.9726791214190014,1.6053667362404624
2018-02-26,2.1911016183372305,3.348764278479812,-0.4096133474819685
2018-02-27,1.845295400827782,3.2069894377639905,0.8714519336861927
2018-02-28,-0.3847692062851117,3.037323056236006,1.4344299759475152
2018-03-01,1.3220014019244528,3.1335059016335816,-0.47071579509823863
2018-03-02,0.47915431540062386,3.003681617861204,0.4351459262128167
2018-03-03,0.7344933160817841,2.8711520256028478,-0.3697290376711492
2018-03-04,0.3105402691626407,2.7003971530746016,0.6712398411647837
2018-03-05,0.05353360026400205,2.714077513407139,0.27284202961250165
2018-03-06,-1.99427662108358,2.396584532513875,1.3726012678499107
2018-03-07,-2.194943015299606,1.8970638769109696,1.4008766665305366
2018-03-08,-1.7587493062763144,1.8057251025699956,1.0320902760073773
2018-03-09,-0.8386975541626537,1.9663366809207334,-0.23893670026799108
2018-03-10,-1.804420253029607,1.755934179002691,0.6859320320417398
2018-03-11,1.4799990442467839,2.2112247445341913,-1.6268694728876307
2018-03-12,-1.6471413227331058,1.9076507930946955,0.36695167121851224
2018-03-13,-0.9977920041799802,1.9455141816385846,-0.6187222206878094
2018-03-14,-3.4729895855501427,1.687804793429138,1.1739342452635388
2018-03-15,-1.4357662284531765,1.9956577934780886,-1.2625471744078918
2018-03-16,-1.4393916544223866,1.719854386563983,-1.3397231359187483
2018-03-17,-2.961606200245214,1.4705351063410814,-0.5162019469875199
2018-03-18,-0.9090792270850485,1.7923444315667396,-2.2818529414030766
2018-03-19,-0.5007374329299038,1.6704872581112726,-2.3553829751467794
2018-03-20,-0.4157722887127275,1.5778679482185738,-1.558293351941068
2018-03-21,-0.6974563510732417,1.3251603193436237,-0.5335253846153835
2018-03-22,-1.0373226275855052,1.22983511410595,0.16381018797419167
2018-03-23,-0.06008841592496657,1.2731653843659376,-0.575384330686165
2018-03-24,-0.7928986980274432,1.0413614039550751,0.4393106167909412
2018-03-25,-1.2028690089570655,1.0550455381023172,-0.14122316332487303
2018-03-26,-1.47170191353465,0.980801106524961,0.17775546647592794
2018-03-27,-1.9523739195986454,1.002147553873628,0.22469131620284366
2018-03-28,-0.027057294672261662,0.9790319218159482,-0.5067166811576606
2018-03-29,-3.0347792629990034,0.8338654734319737,1.4260936892702563
2018-03-30,-1.9326730957349292,1.0468306286479223,-0.07187071187410175
2018-03-31,-0.5472843484249146,1.0723416283939866,-0.8655339674293357
2018-04-01,-1.4682729312304188,0.9702344617519408,-0.4783909932486136
2018-04-02,-0.38162690342128797,1.1376135445239866,-1.68556067100118
2018-04-03,0.07549942845319067,1.3160682799189556,-1.9618870430339812
2018-04-04,-3.167816421845006,1.0366894891233098,0.5245411304349615
