Date,Returns,Volatility,Momentum,Cluster_Id,Market_Regime
2022-06-12,-0.0563510731378267,0.0351153336778675,-0.0911265540088337,2,High-Volatility Bearish
2022-06-13,-0.159747260276172,0.0448841069082769,-0.2912087310002664,2,High-Volatility Bearish
2022-06-14,-0.0124779140530416,0.0439352785146853,-0.3015042761359539,2,High-Volatility Bearish
2022-06-15,0.0164835541770984,0.0436678882721401,-0.2424987689361478,1,Low-Volatility Neutral
2022-06-16,-0.0970719443496029,0.0462341470336657,-0.3310360800838291,2,High-Volatility Bearish
2022-06-17,0.0044074954445947,0.0455687831548341,-0.3108263798333684,1,Low-Volatility Neutral
2022-06-18,-0.0710178097408561,0.0451339385816974,-0.3625281614031063,2,High-Volatility Bearish
2022-06-19,0.0807475952890373,0.0481255631945566,-0.3127527435456577,1,Low-Volatility Neutral
2022-06-20,0.002251010260589,0.0480618524028241,-0.3433504646806357,1,Low-Volatility Neutral
2022-06-21,0.0053914098304885,0.0475425162249351,-0.3352502146335745,1,Low-Volatility Neutral
2022-06-22,-0.0349371066631987,0.047438498032196,-0.3384922833271384,2,High-Volatility Bearish
2022-06-23,0.0549780380029665,0.048667199886513,-0.2997516498141087,1,Low-Volatility Neutral
2022-06-24,0.0069135989553137,0.0487514270338162,-0.2699835362625301,1,Low-Volatility Neutral
2022-06-25,0.0127489649153018,0.048924472691104,-0.2418292187000176,1,Low-Volatility Neutral
2022-06-26,-0.0220926194707933,0.0489266368218188,-0.2143044074662127,2,High-Volatility Bearish
2022-06-27,-0.0138779813254257,0.0488445188289739,-0.0779063403854052,1,Low-Volatility Neutral
2022-06-28,-0.0219355318787197,0.0485209413376732,-0.0867373423004187,2,High-Volatility Bearish
2022-06-29,-0.0087083727982888,0.0455541899955647,-0.1093711036510796,1,Low-Volatility Neutral
2022-06-30,-0.0158822375029873,0.0454529531043624,-0.0292873156336529,2,High-Volatility Bearish
2022-07-01,-0.0260483445839889,0.0446013825069809,-0.0587214550271389,2,High-Volatility Bearish
2022-07-02,-0.0014069651515379,0.0441507641849316,0.0118107846609947,1,Low-Volatility Neutral
2022-07-03,0.0028489545560892,0.0442084470784193,-0.0611189957498972,1,Low-Volatility Neutral
2022-07-04,0.0484107301310523,0.045526974733519,-0.0178778478695715,1,Low-Volatility Neutral
2022-07-05,-0.0020338071321012,0.0454856345137608,-0.0251312120738307,1,Low-Volatility Neutral
2022-07-06,0.0177379304287108,0.0443878857113312,0.0280790500948906,1,Low-Volatility Neutral
2022-07-07,0.0530138578205141,0.0459907764132331,0.0261649510108819,1,Low-Volatility Neutral
2022-07-08,0.0043225380457274,0.0459257639233181,0.0235243511678464,1,Low-Volatility Neutral
2022-07-09,-0.0063922234209801,0.0459144432512428,0.0041795055534024,1,Low-Volatility Neutral
2022-07-10,-0.0338899034934659,0.0459098211785193,-0.0079347202645371,2,High-Volatility Bearish
2022-07-11,-0.04265931997884,0.0462231203833162,-0.0368895212340337,2,High-Volatility Bearish
2022-07-12,-0.0323797974068269,0.0456070232709408,-0.0471741005240432,2,High-Volatility Bearish
2022-07-13,0.0459617111407861,0.0369115431734757,0.005374584922561,1,Low-Volatility Neutral
2022-07-14,0.0177045512129101,0.0370521662375108,0.0396868441367928,1,Low-Volatility Neutral
2022-07-15,0.012951348577769,0.036997370702649,0.0813187543863134,3,Moderate-Volatility Bullish
2022-07-16,0.0169889953319211,0.0324744874546907,0.1012386781005143,3,Moderate-Volatility Bullish
2022-07-17,-0.0193943614796041,0.0326986663059897,0.0768130656127774,0,High-Volatility Transition
2022-07-18,0.0821174009946776,0.0330179962943818,0.1114328787653236,3,Moderate-Volatility Bullish
2022-07-19,0.0401919693193753,0.0305985376795221,0.1584596384040419,3,Moderate-Volatility Bullish
2022-07-20,-0.0067424108943424,0.0306679748323918,0.1305944223113628,3,Moderate-Volatility Bullish
2022-07-21,-0.0028884421706671,0.0306965786978946,0.070573532657336,0,High-Volatility Transition
2022-07-22,-0.0194110767949181,0.0301400438562885,0.0452743096287258,0,High-Volatility Transition
2022-07-23,-0.0109839417117817,0.0287185897440113,0.0404438269377063,0,High-Volatility Transition
2022-07-24,0.0063958373633157,0.0287160051850832,0.0838292035522514,0,High-Volatility Transition
2022-07-25,-0.0551751001132353,0.030501407768294,0.0696597774555802,2,High-Volatility Bearish
2022-07-26,-0.0057086869928485,0.0302335349033143,0.0991434673924513,0,High-Volatility Transition
2022-07-27,0.0796052030234431,0.0333305722965083,0.1344975572498725,3,Moderate-Volatility Bullish
2022-07-28,0.0398306162434614,0.0335871764266739,0.1591628362827661,3,Moderate-Volatility Bullish
2022-07-29,-0.0016462880701044,0.0335055762350858,0.1424581466414203,3,Moderate-Volatility Bullish
2022-07-30,-0.0062351636515082,0.033332366157877,0.1163687496555121,3,Moderate-Volatility Bullish
2022-07-31,-0.0134979604487392,0.0329867025776793,0.1230814969493441,3,Moderate-Volatility Bullish
2022-08-01,-0.0009725914343493,0.0329830160970617,0.0368460912596058,0,High-Volatility Transition
2022-08-02,-0.014415336683737,0.0332066314348553,-0.0175855650630167,0,High-Volatility Transition
2022-08-03,-0.0057275961266136,0.0323013295804625,-0.0165818287839899,0,High-Volatility Transition
2022-08-04,-0.0094347365041087,0.0323815530184249,-0.0230382225055205,0,High-Volatility Transition
